Id,Date,Time,League,Season,Round,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,Odd_BTTS_Yes,Odd_BTTS_No
EVUVgUfK,24/11/2024,16:00,BRASIL - BRASILEIRÃO BETANO,2024,RODADA 35,Bahia,Athletico-PR,1.8,3.6,4.5,1.4,2.75,1.06,10.0,1.29,3.75,1.98,1.92,3.4,1.33,6.0,1.13,1.8,1.95
CKP5mSXm,24/11/2024,16:00,BRASIL - BRASILEIRÃO BETANO,2024,RODADA 35,Corinthians,Vasco,1.57,4.1,5.5,1.44,2.63,1.06,10.0,1.33,3.4,2.07,1.83,3.75,1.29,7.0,1.1,2.05,1.7
