Season,Id,Date,Time,League,Home,Away,Round_number,FT_Odd_ML_Bookie,FT_Odd_ML_H,FT_Odd_ML_D,FT_Odd_ML_A,HT_Odd_OU_05_Bookie,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_OU_05_Bookie,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_OU_15_Bookie,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_OU_25_Bookie,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_OU_35_Bookie,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_OU_45_Bookie,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Bookie,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
2024/2025,pAmNNiN5,2024-11-25,14:00,TURQUIA - SUPER LIG,Trabzonspor,Adana Demirspor,RODADA 13,bet365,1.42,5.0,6.5,bet365,1.22,3.75,bet365,1.02,19.0,bet365,1.14,5.5,bet365,1.48,2.6,bet365,2.1,1.67,bet365,3.75,1.25,bet365,1.67,2.1
2024/2025,pMsXgyno,2024-11-25,14:30,ITÁLIA - SERIE A,Empoli,Udinese,RODADA 13,bet365,2.88,2.9,2.75,bet365,1.58,2.2,bet365,1.13,6.0,bet365,1.57,2.38,bet365,2.75,1.44,bet365,5.5,1.14,bet365,13.0,1.04,bet365,2.2,1.62
2024/2025,hjasAmxq,2024-11-25,16:45,ITÁLIA - SERIE A,Venezia,Lecce,RODADA 13,bet365,2.25,3.25,3.4,bet365,1.44,2.63,bet365,1.07,9.0,bet365,1.33,3.4,bet365,2.1,1.73,bet365,3.75,1.29,bet365,7.0,1.1,bet365,1.8,1.95
2024/2025,6wwaduGj,2024-11-25,17:00,INGLATERRA - PREMIER LEAGUE,Newcastle,West Ham,RODADA 12,bet365,1.5,4.5,6.0,bet365,1.29,3.5,bet365,1.03,17.0,bet365,1.17,5.0,bet365,1.53,2.5,bet365,2.38,1.57,bet365,4.0,1.25,bet365,1.67,2.1
