Season,Id,Date,Time,League,Home,Away,Round_number,FT_Odd_ML_Bookie,FT_Odd_ML_H,FT_Odd_ML_D,FT_Odd_ML_A,HT_Odd_OU_05_Bookie,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_OU_05_Bookie,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_OU_15_Bookie,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_OU_25_Bookie,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_OU_35_Bookie,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_OU_45_Bookie,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Bookie,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
2024,EVUVgUfK,2024-11-24,16:00,BRASIL - BRASILEIRÃO BETANO,Bahia,Athletico-PR,RODADA 35,bet365,1.73,3.8,4.75,bet365,1.33,3.25,bet365,1.04,13.0,bet365,1.25,4.0,bet365,1.73,2.08,bet365,3.0,1.4,bet365,5.0,1.17,bet365,1.7,2.05
2024,CKP5mSXm,2024-11-24,16:00,BRASIL - BRASILEIRÃO BETANO,Corinthians,Vasco,RODADA 35,bet365,1.53,4.2,5.75,bet365,1.4,2.75,bet365,1.05,11.0,bet365,1.29,3.75,bet365,1.91,1.99,bet365,3.4,1.33,bet365,6.0,1.13,bet365,2.0,1.75
2024,GYmHJpFi,2024-11-24,16:00,BRASIL - SÉRIE B,CRB,Operário,RODADA 38,bet365,2.05,3.2,3.8,bet365,1.53,2.38,bet365,1.1,7.0,bet365,1.44,2.63,bet365,2.4,1.53,bet365,4.5,1.18,bet365,11.0,1.05,bet365,2.1,1.67
2024,AXtQHOq4,2024-11-24,16:00,BRASIL - SÉRIE B,Paysandu,Vila Nova,RODADA 38,bet365,1.33,4.75,9.0,bet365,1.36,3.0,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.75,2.05,bet365,2.75,1.4,bet365,5.5,1.14,bet365,2.1,1.67
2024/2025,StHzEdwH,2024-11-24,16:45,ITÁLIA - SERIE A,Lazio,Bologna,RODADA 13,bet365,1.83,3.5,4.33,bet365,1.44,2.63,bet365,1.06,10.0,bet365,1.33,3.4,bet365,2.0,1.8,bet365,3.75,1.29,bet365,7.0,1.1,bet365,1.95,1.8
2024/2025,Olld2DS1,2024-11-24,16:45,FRANÇA - LIGUE 1,Nice,Strasbourg,RODADA 12,bet365,1.69,3.75,4.75,bet365,1.33,3.25,bet365,1.04,13.0,bet365,1.22,4.33,bet365,1.73,2.1,bet365,2.75,1.44,bet365,5.0,1.17,bet365,1.67,2.1
2024/2025,WpvagkwA,2024-11-24,17:00,ESPANHA - LALIGA,Ath. Bilbao,Real Sociedad,RODADA 14,bet365,2.3,2.9,3.6,bet365,1.57,2.25,bet365,1.11,6.5,bet365,1.53,2.5,bet365,2.63,1.5,bet365,5.0,1.17,bet365,11.0,1.05,bet365,2.1,1.67
2024/2025,vkYjALcC,2024-11-24,17:00,ESPANHA - LALIGA2,Elche,R. Oviedo,RODADA 16,bet365,1.91,3.2,4.33,bet365,1.57,2.25,bet365,1.1,7.0,bet365,1.5,2.5,bet365,2.5,1.5,bet365,5.0,1.17,bet365,11.0,1.05,bet365,2.2,1.62
